Date,Name,Year,Letterboxd URI
2024-06-01,Michel Vay,2023,https://boxd.it/ITq6
2024-06-04,The Mother of All Lies,2023,https://boxd.it/G55e
2024-06-08,Mad Max 2,1981,https://boxd.it/1ZPg
2024-06-13,Samsara,2023,https://boxd.it/EL1a
2024-06-18,Hit Man,2023,https://boxd.it/ANB2
2024-06-18,Inside Out 2,2024,https://boxd.it/CFrC
2024-06-25,Mars Express,2023,https://boxd.it/lATC
2024-07-04,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-07-05,The Dark Knight,2008,https://boxd.it/2b0k
2024-07-05,The Empire Strikes Back,1980,https://boxd.it/27Vw
2024-07-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-07-05,Alien,1979,https://boxd.it/2awY
2024-07-05,Barbie,2023,https://boxd.it/bCLK
2024-07-05,Inside Out,2015,https://boxd.it/4KHC
2024-07-05,Finding Nemo,2003,https://boxd.it/72i
2024-07-05,WALL·E,2008,https://boxd.it/1VEo
2024-07-05,Django Unchained,2012,https://boxd.it/2cCk
2024-07-05,The Incredibles,2004,https://boxd.it/1XLm
2024-07-05,Shrek,2001,https://boxd.it/29zi
2024-07-05,Home Alone,1990,https://boxd.it/29Fg
2024-07-05,Hereditary,2018,https://boxd.it/hNVe
2024-07-07,Exterminate All the Brutes,2021,https://boxd.it/uy12
2024-07-12,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-07-13,Twelve Monkeys,1995,https://boxd.it/2beQ
2024-08-13,Dogtooth,2009,https://boxd.it/158K
2024-08-15,The Favourite,2018,https://boxd.it/d2hI
2024-08-17,Run Lola Run,1998,https://boxd.it/2b8o
2024-09-04,Aliens,1986,https://boxd.it/29PA
2024-09-10,Alien: Romulus,2024,https://boxd.it/zGqO
2024-09-11,Immaculate,2024,https://boxd.it/Douw
2024-09-18,Soundtrack to a Coup d'Etat,2024,https://boxd.it/K5gk
2024-09-20,Emilia Pérez,2024,https://boxd.it/AP3G
2024-09-22,After Hours,1985,https://boxd.it/1VfS
2024-10-01,Dahomey,2024,https://boxd.it/FFBI
2024-10-04,Lonely Are the Brave,1962,https://boxd.it/VxK
2024-10-05,Forbidden Planet,1956,https://boxd.it/29vK
2024-10-13,Longlegs,2024,https://boxd.it/KzLM
2024-10-29,The Manchurian Candidate,1962,https://boxd.it/299Y
2024-10-29,The Wild Robot,2024,https://boxd.it/IWFy
2024-10-30,The Shining,1980,https://boxd.it/29Nu
2024-10-31,Blackfish,2013,https://boxd.it/4Ym4
2024-11-07,Dream Scenario,2023,https://boxd.it/v2h0
2024-11-14,Anora,2024,https://boxd.it/Egcw
2024-11-16,Beau Is Afraid,2023,https://boxd.it/u2gE
2024-11-21,The Substance,2024,https://boxd.it/zanS
2024-12-01,Trainspotting,1996,https://boxd.it/29XY
2024-12-02,Under the Tree,2017,https://boxd.it/gWWI
2024-12-04,Kneecap,2024,https://boxd.it/ILxI
2024-12-08,Sunshine,2007,https://boxd.it/28Xy
2024-12-13,Sick of Myself,2022,https://boxd.it/tEzs
2024-12-19,Animale,2024,https://boxd.it/CBgg
2024-12-20,No Other Land,2024,https://boxd.it/KOTG
2024-12-22,The Wolfpack,2015,https://boxd.it/9QPM
2024-12-23,Woman of the Hour,2023,https://boxd.it/vuz2
2024-12-26,Sleep,2023,https://boxd.it/Aqmo
2024-12-30,Nosferatu,2024,https://boxd.it/f5eG
2024-12-31,Citizen Kane,1941,https://boxd.it/71O
2025-01-03,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2025-01-07,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U
2025-01-08,Souleymane's Story,2024,https://boxd.it/HQVy
2025-01-11,Bullet Ballet,1998,https://boxd.it/1uMg
2025-01-12,Megalopolis,2024,https://boxd.it/lPBS
2025-01-12,Bram Stoker's Dracula,1992,https://boxd.it/223a
2025-01-12,The Godfather Part II,1974,https://boxd.it/2aNq
2025-01-12,The Godfather Part III,1990,https://boxd.it/2aN6
2025-01-12,Rumble Fish,1983,https://boxd.it/2aOI
2025-01-12,New York Stories,1989,https://boxd.it/1Y3q
2025-01-21,The White Ribbon,2009,https://boxd.it/17eU
2025-01-28,Bird,2024,https://boxd.it/GGhm
2025-02-05,Maldoror,2024,https://boxd.it/AeCu
2025-02-07,Les Barons,2009,https://boxd.it/1pE2
2025-02-11,The Brutalist,2024,https://boxd.it/k4BO
2025-02-13,Riefenstahl,2024,https://boxd.it/ETau
2025-02-22,Heretic,2024,https://boxd.it/H1lY
2025-03-03,All We Imagine as Light,2024,https://boxd.it/yXaQ
2025-03-13,Memoir of a Snail,2024,https://boxd.it/EgX8
2025-03-13,Flow,2024,https://boxd.it/v1Ei
2025-03-14,The Ties That Bind Us,2024,https://boxd.it/Fuoo
2025-03-14,Rubber,2010,https://boxd.it/P2m
2025-03-21,Mickey 17,2025,https://boxd.it/q1Dk
2025-03-25,I'm Still Here,2024,https://boxd.it/BPEO
2025-04-01,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://boxd.it/24ai
2025-05-03,Black Bag,2025,https://boxd.it/KRbM
2025-05-06,The Wages of Fear,1953,https://boxd.it/2aSK
2025-05-07,Rope,1948,https://boxd.it/28yo
2025-06-11,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-17,Architecton,2024,https://boxd.it/KU6q
2025-06-21,The Third Man,1949,https://boxd.it/294E
2025-06-22,28 Days Later,2002,https://boxd.it/2aXU
2025-07-06,Gattaca,1997,https://boxd.it/29Du
2025-07-07,A Minecraft Movie,2025,https://boxd.it/zRro
2025-07-23,High and Low,1963,https://boxd.it/1RSc
2025-10-02,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-09,Sirāt,2025,https://boxd.it/HxJo
2025-10-10,It Was Just an Accident,2025,https://boxd.it/TX2k
2025-10-14,Alpha,2025,https://boxd.it/N008
2025-10-27,28 Years Later,2025,https://boxd.it/FEGM
2025-10-28,A House of Dynamite,2025,https://boxd.it/NcXc
2025-10-30,Breathless,1960,https://boxd.it/2aIK
2025-11-02,The Vast of Night,2019,https://boxd.it/kJyc
2025-11-03,Arco,2025,https://boxd.it/uh7C
2025-11-08,The Bibi Files,2024,https://boxd.it/Q8V8
2025-11-08,Bugonia,2025,https://boxd.it/qeWY
2025-11-13,The Apprentice,2024,https://boxd.it/IPqG
2025-11-14,Eagles of the Republic,2025,https://boxd.it/KkUk
2025-11-15,Green Room,2015,https://boxd.it/a75m
